,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
134,-4.9,39.71986534,-0.775714809,-1.08385975,0.047140199,-0.221764026,0.033848669,-4.620765748,-1.859574559,-0.775714809
135,-4,35.6916838,-1.040810801,-0.678218555,0.050172817,-0.177018088,0.134547448,-8.388979732,-1.719029356,-1.040810801
136,-4.1,34.9387502,-0.808091638,-0.265753527,0.032111089,-0.178620221,-0.033971209,-2.900921652,-1.073845165,-0.808091638
137,-3.5,37.38748009,-0.992490691,-0.369758595,0.055162716,-0.207662886,0.02159583,-5.200851234,-1.362249286,-0.992490691
138,-3.8,39.29341843,-1.06654183,-0.227785205,0.036468401,-0.217177199,0.067528597,-6.780439403,-1.294327036,-1.06654183
139,-3.8,33.7565278,-0.872725735,-0.367920149,0.058533621,-0.172552343,-0.027764505,-3.666200269,-1.240645884,-0.872725735
140,-4.7,38.66864745,-0.784715529,0.035656358,0.011827562,-0.207306175,-0.024280126,-3.968139902,-0.749059171,-0.784715529
141,-4.9,38.55142439,-1.115549324,-1.501348534,0.016221036,-0.169193592,0.129843515,-7.600627444,-2.616897858,-1.115549324
142,-4.4,39.70119447,-1.14725155,-0.124445573,0.046078066,-0.223247269,0.164439276,-9.718484637,-1.271697123,-1.14725155
143,-3.8,34.53087776,-1.016973599,-0.341073892,-0.009919327,-0.124433181,0.007395572,-6.938030593,-1.358047491,-1.016973599
144,-3.9,34.88895453,-0.904114612,-0.912653212,0.026627351,-0.15435995,-0.037431604,-3.620708353,-1.816767824,-0.904114612
145,-4.9,36.3111949,-0.846102728,-0.20562513,0.048599867,-0.18844576,-0.029733731,-3.407486546,-1.051727858,-0.846102728
146,-4.7,34.58809628,-0.983718784,-0.262838673,0.047560467,-0.163462954,0.04640848,-6.566393565,-1.246557456,-0.983718784
147,-3.4,34.97603504,-0.810914722,-0.691061382,0.067617812,-0.194415916,-0.07116132,-1.013618951,-1.501976104,-0.810914722
148,-4.5,35.09773884,-0.84050806,-0.795832599,0.055580206,-0.181610113,0.022541396,-3.924059011,-1.636340659,-0.84050806
149,-3.4,35.03396858,-1.00914757,0.165284511,0.062735333,-0.200049975,0.004273534,-5.155683374,-0.84386306,-1.00914757
150,-3.4,36.5758869,-0.557175605,-0.638184965,0.014565351,-0.200078239,-0.093783264,-0.277125538,-1.19536057,-0.557175605
151,-4.2,38.37724753,-1.006207661,-0.866904844,0.017451366,-0.184957168,0.06307872,-6.993886631,-1.873112505,-1.006207661
152,-3.8,32.50095846,-0.841787788,-0.785088536,0.059113084,-0.144230879,-0.127290393,-1.076610568,-1.626876324,-0.841787788
153,-3.8,32.06801049,-0.981599545,-0.550242584,0.029018818,-0.129288648,-0.03913081,-4.226114745,-1.531842129,-0.981599545
154,-3.5,35.14492459,-0.787116972,-0.267628077,0.01310247,-0.172131164,-0.07996099,-2.298092254,-1.054745049,-0.787116972
155,-3.5,37.30769249,-1.022186863,-0.700076889,0.049422664,-0.200757397,0.109052234,-7.437370278,-1.722263752,-1.022186863
156,-3.4,30.88212594,-0.868348046,0.015995825,0.088696987,-0.166925565,-0.088809886,-1.88821404,-0.852352221,-0.868348046
157,-3.8,33.82322515,-0.902693229,-0.659230926,0.033467412,-0.156238824,-0.100311122,-0.885749317,-1.561924154,-0.902693229
158,-4,38.16069355,-0.915048103,-0.068466019,0.031561316,-0.218290314,-0.025386963,-3.209405026,-0.983514122,-0.915048103
159,-3.4,34.3739952,-0.892951328,0.103590698,0.031728786,-0.176651354,0.024823995,-4.652934855,-0.78936063,-0.892951328
160,-3.5,33.4959552,-1.201012995,0.447687174,0.074859099,-0.188162092,0.14319721,-8.110438955,-0.753325821,-1.201012995
161,-3.3,39.53652712,-0.823426067,-0.418872723,0.004300276,-0.214459086,0.029947435,-5.503765257,-1.24229879,-0.823426067
162,-3.8,36.81591554,-0.760092296,-1.117618456,0.038275429,-0.193235343,-0.052823311,-1.993832136,-1.877710753,-0.760092296
163,-3.4,35.37944654,-1.014658958,-0.759266831,0.05980186,-0.185002795,-0.008001193,-3.796934734,-1.773925789,-1.014658958
164,-6,28.40105754,-0.734558052,0.715151076,0.072314791,-0.119597333,-0.064103495,-3.485994211,-0.019406976,-0.734558052
165,-3.4,38.26639922,-0.931214344,-0.618329612,0.03355609,-0.215547792,-0.032148427,-2.797647046,-1.549543957,-0.931214344
166,-3.5,37.33269011,-1.137896735,-1.501331443,0.040716472,-0.178455393,0.05842771,-5.452941999,-2.639228178,-1.137896735
167,-3.9,35.84917998,-0.95949736,-0.106205311,0.050730561,-0.200196108,0.024880286,-4.50631066,-1.065702671,-0.95949736
168,-4.9,36.50568941,-1.062622019,0.008868469,0.058976252,-0.193519197,0.207354225,-11.04049652,-1.05375355,-1.062622019
169,-3.8,34.60150158,-1.069489028,-0.6071104,0.038340377,-0.15931295,0.003248474,-5.234432282,-1.676599428,-1.069489028
170,-4.2,37.69262934,-0.833614193,-0.226168639,0.042375411,-0.209644436,-0.029050443,-5.147783037,-1.059782832,-0.833614193
171,-3.8,34.66259378,-0.99266192,0.017992457,0.051472283,-0.185629006,-0.005621455,-3.677804439,-0.974669462,-0.99266192
172,-4,36.65531261,-0.890874445,-0.835925526,0.023646562,-0.178424277,0.006336954,-3.887697534,-1.726799971,-0.890874445
173,-4.8,39.18067817,-1.021419832,-1.041587212,0.049716069,-0.201271253,0.123901523,-8.256904875,-2.063007044,-1.021419832
174,-5.5,39.23262836,-1.224051455,0.360152379,0.089745685,-0.228026968,0.215873796,-11.39203942,-0.863899076,-1.224051455
175,-4,33.60878265,-1.064313281,-0.492894525,0.047706226,-0.15911369,0.102878166,-7.159631815,-1.557207806,-1.064313281
176,-5,35.72122651,-0.873133795,-0.543651171,0.062326462,-0.186951004,-0.045786778,-3.293594341,-1.416784966,-0.873133795
177,-3.8,33.92663259,-0.895828042,0.401133906,0.082941209,-0.200869331,-0.089807366,-1.235395224,-0.494694136,-0.895828042
